word,Lg10WF,AoA,Prevalence,SemD,Conc.M
deluding,1.0414,12.8731,1.55,,1.81
demerit,1.0414,,,,2.19
democracies,1,10.92812,2.09,1.13,
deportment,1.1139,,,,2.67
depositors,1.301,13.65,1.51,0.77,
depressors,1.0792,10.25,1.39,,
dermatology,1,12.220475,1.99,,2.92
desiccated,1.1461,,,1.55,
desirous,1.1139,,,,1.5
despairing,1.0414,12.79,1.83,1.72,2.05
desperadoes,1.0792,,,,
detoxing,1,,,,
devotes,1.0792,,,1.82,
dia,1.4914,,,,
diabetics,1,,,0.63,
diagnostician,1.1139,,,,3.89
dictionaries,1,7.28,2.58,0.94,
digitized,1,,,,
dikes,1.0792,,,,
dines,1,,,,
dingus,1.2304,,,,
disciplinarian,1.0414,12.71,1.82,,3.33
disemboweled,1.0792,,,,
disfiguring,1,,,,
disheveled,1,,,,3.14
dishwashers,1,7.16,2.31,0.99,
disintegrates,1,,,,
disobeys,1,,,,
disparity,1.0414,12.5,1.92,1.95,1.78
disrespectfully,1,,,,1.67
dissident,1,13.29,1.36,1.42,2.5
distanced,1,,,1.94,
distemper,1,,,,2.35
distributes,1,10.32,2.28,1.6,
diverged,1.0414,,,1.43,
dockers,1.1139,,,1.13,
dogmatic,1.0414,13.87,1.55,1.44,1.89
doli,1.301,,,,
dollhouse,1.3617,4.86,1.84,,4.86
dollop,1.0414,,,,4.07
domes,1.1139,8.210226042,2.23,1.16,
dopers,1.0414,,,,
dosed,1.2041,8.7929375,1.88,1.7,
downplay,1,,,,2.23
dozer,1.301,,,,
dp,1.1139,,,,
draperies,1,12,1.73,,
dredged,1,,,1.59,
dreidel,1.1761,,,,4.88
driveling,1,,,,
drools,1,,,,
drudgery,1,,,1.68,2.14
dryers,1.0792,,,,
duce,1.3222,,,,
duckie,1.5682,,,,
dun,1.1461,,,1.57,
duplicating,1,,,1.93,
duplicity,1.0792,12.42,1.93,1.7,2.12
duvet,1.1139,,,0.46,4.85
dweller,1,9.84,2.12,1.7,3.5
dwellings,1,8.9248,2.43,1.15,
earths,1.0792,,,1.16,
eastman,1.7634,,,,
eatery,1.0414,,,,4.48
eccentricity,1.0414,13.74,1.93,1.61,1.84
eclair,1.0414,10.76,1.63,,4.75
eclipses,1,10.26638182,2.58,,
ecumenical,1,,,0.8,
efficacy,1.2041,,,1.49,
egging,1.0792,,,,3.21
egocentric,1.1139,,,1.25,2.07
egomaniacal,1,,,,1.7
egress,1.0414,,,,
ejector,1.2041,9.86,2.03,,3.67
electing,1,8.437345455,2.19,1.44,
electives,1.1139,12.11,2.07,,
elektra,1.8195,,,,
elevates,1,9.11,2.32,,
eludes,1.0414,12.40425,1.88,,
emasculated,1,,,,1.96
ember,1.0792,,,,4.36
embossed,1.0414,,,1.53,
emergence,1.0414,10.47,1.93,1.74,2.56
emitted,1,10.33,1.66,1.3,
emplacements,1.1139,,,,
enact,1,11.2271,1.66,1.59,2.22
encephalitis,1.0792,,,,3.13
encircled,1,9.78,1.71,1.75,
encrusted,1,13.94,1.45,1.61,
endoscopy,1.1461,,,0.65,4.15
endow,1.0792,13.17,1.52,1.62,2.68
enemas,1.1139,,,,
engraver,1.0414,10.11,1.81,1.07,4.43
enhancer,1,,,1.02,2.15
ennui,1.301,,,,
enrage,1.1761,10.21985,2.09,,2.69
enslavement,1,10.58,2.19,,2.5
ensue,1.0414,12.11,1.89,1.99,2.36
ensues,1,,,1.79,
ensuing,1.0414,,,2.06,1.42
entanglements,1,,,,
enthralled,1,,,1.75,
enthused,1.1761,,,1.79,
entrenched,1,,,1.87,2.65
entrepreneurial,1,,,1.54,2.14
epidemics,1.0414,10.765135,2.43,1.23,
epidermal,1.0414,,,,3.56
episcopal,1.0414,,,0.86,2.23
erroneously,1.1461,,,2.06,1.85
escalators,1,,,,
esplanade,1.2304,,,1.4,
estonia,1.1761,,,,
eulogies,1.1139,,,,
evangelical,1.0792,12.94,1.81,1.12,2.23
evaporates,1,,,1.35,
evened,1,,,,
eventuality,1,12.74,1.67,1.93,1.57
evokes,1.1461,12.84315,1.95,1.31,
exacerbated,1,13.93,1.77,1.88,
examiners,1.0792,11.95,2.32,1.21,
excels,1.0414,10.91339192,2.44,1.7,
exemplar,1,,,1.72,
exemplified,1,11.72,2.11,1.83,
exhibitionist,1.0414,,,,3.67
existentialism,1.0414,,,,1.45
exorcising,1.0792,,,,
expatriate,1,,,1.61,2.77
expelling,1.0792,10.15215354,1.89,1.86,
explainable,1.0414,,,,2.14
exponential,1.0414,13.79,1.82,1.37,1.58
extortionist,1.0414,14.67,2.01,,3.17
extractions,1,,,,
extubate,1.1761,,,,
exudes,1,,,,
facsimile,1,14.14,1.29,1.28,3.19
fain,1.2041,,,,
fainter,1.0414,,,0.67,3.68
fairground,1.0414,7.22,2.12,1.59,4.7
fairyland,1.1139,8.22,1.46,,2.93
fanciest,1,,,,
farmed,1.3424,,,1.31,
farmyard,1.0414,5.67045,1.74,1.31,4.47
faro,1.5441,,,,
fathering,1,3.330667172,2.58,,
faust,1.415,,,,
favourably,1,,,2.17,
fearfully,1,,,1.42,2.56
feasted,1,,,,
federally,1.0414,,,1.07,2.04
feedbag,1.0414,9.06,1.3,,4.72
feelgood,1.0414,,,,
feigning,1,,,1.62,2.34
fellowships,1,10.37,2.43,0.95,
ferment,1.0792,13.2,2.05,1.75,2.92
ferocity,1.0414,12.24,2.11,1.76,1.76
fertiliser,1.1761,,,1.17,
fete,1.2304,,,1.41,
feudal,1.0414,,,1.12,2.18
fiat,1,,,1.44,3.57
fibrillation,1.0792,,,,
fibrosis,1.3222,,,1.09,
fibula,1.0414,,,,4.76
figurine,1.1761,9,2,,4.86
fingertip,1.0414,6,2.09,1.6,4.93
fisticuffs,1,,,,
flagging,1,,,2.09,3.16
flail,1,,,,3.79
flasher,1.2553,9.11,2.32,,4.1
flatly,1,,,1.42,2.16
fleeced,1.1139,,,,2.79
floaters,1.1461,,,,
fluctuates,1,12.22,1.94,1.82,
foodstuffs,1,,,1.45,
footlights,1.0792,,,,
footmen,1.0414,,,,
fop,1.0792,,,,
forethought,1,11.11,2.08,,2.12
fortresses,1.0792,10.02458788,2.58,1.15,
foundling,1,12.25,1.09,,
franciscan,1.1461,,,1.27,
frankincense,1.1139,,,,4.71
frets,1.0414,,,0.4,
fricassee,1,,,,
frivolity,1,,,1.69,
frontage,1.0414,11.23,1.5,0.79,3.04
froth,1.0414,,,1.59,4.14
frugal,1,11.37,2.06,1.83,1.93
frumpy,1,,,,2.74
fume,1.1139,9.096451613,1.9,1.6,3.58
fuming,1,,,1.64,2.52
fungal,1.2041,,,1,3.69
fy,1.1139,,,,
gales,1,,,1.49,
galleria,1.0792,,,,4.07
galling,1,,,1.86,
gallstones,1.0414,13.11,1.6,,
ganged,1,,,,
ganges,1.0792,,,,
gangrenous,1,,,,3.52
garish,1.0792,15.88,1.39,1.66,2.35
gaseous,1.0414,11.71,1.86,1.15,2.75
gaslight,1.2553,9.8,1.96,,4.62
gastrointestinal,1,14.31,1.96,0.83,3.21
gats,1.1761,,,,
gazpacho,1.0792,,,,
gentiles,1,10.79734545,1.88,0.51,
ghoulish,1.1139,,,,2.23
gibbering,1.2553,,,,
gipper,1.2788,,,,
gladness,1.2304,8,1.5,,1.96
globetrotters,1.1139,,,,
gluck,1.2304,,,,
gobbled,1.0414,6.21209697,2.25,1.61,
gobbler,1.2304,8.94,1.64,,3.88
goblets,1,,,1.14,
gogo,1.415,,,,
goiter,1.0414,,,,
gol,1.1139,,,,
goodrich,1.1761,,,,
goosebumps,1.1139,,,,4.72
gorgonzola,1,,,,
goto,1.1461,,,,
gp,1.1461,,,1.24,
grabber,1.1139,,,,3.84
graciousness,1.0414,,,,1.71
graf,1.2304,,,,
grafted,1.0414,,,1.58,3.3
grandbaby,1.0414,,,,4.09
granddaughters,1.0414,,,,
grandmaster,1.3424,,,,3.54
greaser,1.3424,12.81,1.57,,
greasing,1,,,,
gremlin,1.0792,,,,4.04
grenadine,1.0414,,,,4.19
groomsmen,1.0792,11.5,1.65,,
grower,1.0414,7.53,1.89,1.17,4
gulping,1,,,1.42,4.07
gunny,1.5185,,,,
gunships,1.0792,,,,
gunsmith,1.2041,10.68588,1.94,,4.7
gurgle,1.1139,7.74,1.94,1.38,4.31
gurgles,1.0792,,,,
gurneys,1,,,,
gurus,1.0414,,,1.56,
habitable,1.0414,12.17,2.14,1.4,2.21
habitats,1.0792,,,1.02,
habitually,1,,,1.91,2.15
haemorrhaging,1.0414,,,,
hague,1.0792,,,,
hairdryer,1.0792,,,0.73,4.97
hakim,1.5563,,,,
halcyon,1.1461,,,1.76,
halyard,1.1139,,,,
hamstring,1.0414,9.74,2.32,0.83,4.72
handmaiden,1.0414,9.93,1.43,,4.64
handoff,1.1139,,,,3.03
hao,1.415,,,,
haphazard,1.0414,11.06,1.71,1.94,2.48
haps,1.1761,,,,
hardtack,1.1139,,,,
harmonic,1.0792,11.89,2.26,0.7,3.07
harnesses,1.0414,8.748733333,2.18,1.52,
harnessing,1.0414,8.748733333,2.18,1.71,
harvests,1.1461,7.455954621,2.44,1.31,
havent,1.1461,,,,
hawker,1.301,,,1.24,
hayrides,1.1139,,,,
hazelnut,1,,,,4.6
headliners,1,,,,
headpiece,1.2304,10,2.02,,4.8
heartsick,1.1761,10.68,1.35,,1.93
heavies,1,,,1.16,
hedgehog,1.2041,7.72641,2.34,1.35,4.93
heeded,1,,,2.09,
heifers,1.1139,,,0.57,
hemispheres,1.0792,,,0.77,
henny,1.3222,,,,
herniated,1,,,,2.75
herrings,1.0414,,,1.49,
highlanders,1.1139,,,1.01,
highschool,1,6.22,0.87,,4.73
hiker,1.1761,8.5,2.36,,4.53
hitches,1,,,,
hoagie,1.6532,,,,4.63
hoard,1.3802,10.80048387,2.04,1.44,3.33
hobnob,1.0792,,,,
hocking,1,,,,
hollander,1.4624,,,,
holsters,1,,,,
homeopathic,1.0792,,,,2.44
homespun,1.0414,,,1.66,2.45
honeybee,1.0414,6.22,1.87,,4.86
honeybunch,1.0414,,,,
hoofbeats,1.0792,,,,
hootenanny,1.0792,,,,
hopelessness,1.0792,9.67,2.08,1.59,1.67
horseflesh,1.0414,,,,
horst,1.3979,,,,
hospitalization,1,9.53,2.06,,3.12
hotheads,1.0792,,,,
houseful,1,,,,3.05
hows,1.0414,,,,
hoya,1,,,,
hubs,1,10.9175,2.23,0.97,
hues,1,10.48931979,2.25,1.33,
huffs,1,,,,
hulls,1,,,1.16,
humiliates,1,,,,
humiliations,1,,,,
hummed,1,6.46290625,2.06,1.42,
hummingbirds,1.1761,,,,
humorless,1.0414,,,,1.73
hungers,1,,,,
huntress,1.3222,12.06,1.38,,4.12
husbandry,1.0414,13,1.5,1.08,2.23
hydroponic,1.1139,,,,3
idealized,1,,,1.69,
ideologies,1.0414,12.67,2.24,1.33,
idiom,1.1139,14.06,1.82,1.41,2.42
imbued,1,,,1.76,
immeasurably,1,,,1.98,1.86
implanting,1,,,,
implementation,1,13.38,2.16,1.66,1.84
impounding,1,,,,
improprieties,1.0414,,,,
impugn,1,,,,
incapacity,1.1461,13.05,1.96,1.62,1.7
incarcerate,1.0414,11.94,1.76,,3.13
incentives,1.1139,12.55,2.22,1.56,
incise,1.0414,13.77,1.16,,2.48
incisions,1,,,,
incisors,1,,,0.75,
inclusion,1.0414,12.18,2.17,2.07,2.21
inclusive,1.0792,11.89,2.15,1.63,1.64
incoherently,1,,,,2.1
incompetents,1.0414,,,,
indefensible,1,11.67,1.71,1.78,1.65
indentation,1,10.33,1.96,1.67,3.92
indentations,1,10.33,1.96,,
indiscriminate,1,13.74,2.07,1.9,1.64
infirmity,1.0792,13,1.14,1.15,
infringement,1,12.82585,2.19,1.51,2.25
infuse,1,14.37,2.1,,2.92
ingenuous,1.0792,,,,1.3
ingratiate,1.0414,,,,
inheriting,1.0414,9.05,2.12,1.9,
injects,1,,,,
inks,1,5.704789063,1.9,1.22,4.46
inlaid,1,,,1.18,
innovator,1.0414,10.06,2.15,1.7,2.52
innuendos,1,,,,
inoculate,1.2788,,,,2.8
inoffensive,1.1139,,,,2.21
inroads,1,,,2.04,
inscribe,1,10.11,1.7,,3.31
insinuated,1,,,,
instalments,1.1139,,,1.21,
instituting,1,10.11,2.44,1.88,
interred,1,,,,
intervenes,1,,,1.85,
interventions,1.0414,,,1.54,
intimates,1.0414,,,,
introspection,1,14.22,1.5,1.47,1.35
intuitions,1,10.58,2.44,1.06,
invasions,1,9.33,2.32,1.43,
inventories,1,11.52,2.24,1.5,
io,1.1761,,,,
irregulars,1.0792,9.16,2.42,,
irrepressible,1.0414,12.22,1.55,1.72,1.81
irresponsibly,1.0414,,,,2.31
israeli,1.0414,,,0.88,
jammy,1.2304,,,,
jangle,1.2553,,,,
jarred,1.0792,5.154172917,2.32,1.59,
jaunty,1,,,1.6,1.81
jeanne,1.1139,,,,
jesters,1.3424,,,,
jests,1,,,,
jockeying,1,8.633892929,2.43,,
joists,1.1461,,,0.62,
joneses,1.0414,,,,
jovial,1.0792,,,1.74,2.81
joyfully,1,,,1.55,2.19
joyously,1,,,,2.1
jt,1.5315,,,,
kamikazes,1,,,,
katzenjammer,1.1761,,,,
keying,1,,,,
khmer,1.2553,,,0.36,
kipper,1.1761,,,,
kleptomaniac,1,,,,2.79
klick,1.0414,,,,
knaves,1.1139,,,,
kneed,1.1139,,,,3.81
kona,1.4914,,,,
lacs,1.1139,,,,
lakeshore,1,,,,4.38
lamebrain,1.1461,,,,2.42
laminate,1.0414,11.05,2.24,0.94,3.89
languishing,1,13.8,1.63,1.9,2.08
largo,1.7404,,,,
lavished,1,11.0323101,2.26,1.87,
layouts,1,,,1.42,
lea,1.3222,,,0.94,
leaflets,1.1461,,,1.68,
leathers,1.1139,7.896515152,2.44,1.31,
leathery,1,11.84,1.85,1.44,3.4
leavings,1.0414,9.75,1.27,,2.92
lederhosen,1.0414,,,,
leftist,1,,,1.33,2.15
legalize,1.0792,11.67,2.16,,1.7
lemonades,1.0792,,,,
leonid,1.3222,,,,
leopards,1.6128,6.757801591,2.32,1.16,
leukaemia,1.1461,,,1.29,
lev,1.3424,,,,
levied,1,,,1.29,
levitation,1,11.33,1.93,,3.22
liberators,1.0414,,,,
libidos,1.0414,,,,
libyan,1.3222,,,1.04,
lifter,1.1139,,,,3.93
lifters,1.0414,10.59,1.69,,
lighthouses,1.1461,6.11,2.44,,
likened,1,11.59,1.4,1.92,
linebackers,1.1461,9.32,1.61,,
linings,1.0792,,,1.43,
linkage,1.2041,11.26,1.63,1.77,2.75
liquefy,1.0414,,,,3.31
listless,1,12.11,1.79,1.76,2.07
litres,1.1139,,,1.43,
llamas,1.0414,,,,
locos,1.0414,,,0.32,
longboat,1.3424,11.27,1.49,,4.6
longhorn,1.2304,10.37,1.81,,4.56
loons,1.2553,,,,
lorelei,1.6021,,,,
lowry,1.6232,,,,
loyalist,1,12.61,2.25,0.73,2.64
lulled,1.0792,,,1.74,
lumberyard,1,8.47,1.61,,4.56
lymphatic,1.1761,,,,2.9
machina,1,,,,
magneto,1.7404,,,,
mainstay,1,11.78,1.66,2.11,2.19
maladjusted,1.0414,,,,1.52
malcontents,1.0792,,,,
malfunctions,1.1461,,,,
malign,1.0414,,,1.79,2.04
malingering,1,,,,
malts,1,,,,
manet,1.1139,,,,
mange,1.0792,,,,3.58
manicotti,1.2304,,,,4.63
manipulations,1,10.61,2.25,1.61,
manipulator,1.0414,,,,2.96
manmade,1,9.42,1.72,,3.32
marconi,1.1139,,,,
marsala,1.1139,,,,
marseille,1.4472,,,,
marzipan,1.3222,,,0.53,
massed,1.0414,,,1.63,
masturbator,1.0414,,,,4.04
matte,1.1761,,,,3.25
mechanically,1.0414,,,1.77,2.64
mediate,1.1761,11.63,2.33,1.72,2.54
meditative,1.0792,12.06,1.98,1.16,1.75
memoir,1,12.3803,1.99,1.5,3.76
menaces,1.0414,,,,
menfolk,1.0414,,,,
menopausal,1,,,,2.43
mentis,1,,,,
mentors,1.0792,,,1.94,
mercantile,1.1139,,,1.4,2.93
merengue,1.4472,,,,
messaging,1,,,0.67,3.41
messier,1,,,,
metaphysics,1.0414,14.88,2.12,1.01,2
meteoric,1,11.11,1.45,1.62,2.41
meteorologist,1.0792,,,,4.56
micky,1.7634,,,,
microbe,1.1139,12.3869,1.75,,4.19
microfiche,1.1139,,,0.93,
midfield,1.1761,,,0.84,4.57
midsize,1.0414,,,,3.39
mikado,1.5185,,,,
milieu,1.0792,,,1.62,
minnow,1.1761,8.48565,1.38,,4.84
misadventures,1,,,,
misfired,1.0792,11,2.13,,
mishandled,1.0414,,,,
mislabeled,1,,,,
misplacing,1,8.72,2.44,,
misprint,1.1761,11.45,1.8,,3.69
mispronounce,1,9.47,2.33,,2.63
modems,1.0792,,,0.73,
mohair,1.1139,,,0.8,
moldings,1.0792,,,,
monasteries,1.1761,10.26,2.01,1.09,
monkeyshines,1.0792,,,,
moocher,1.1761,,,,2.71
moored,1,,,1.11,
motivates,1.0792,10.37795,2.58,1.65,
motivating,1,,,1.56,
motorcars,1.0792,,,,
motorcyclist,1.1461,,,,4.79
moulded,1,,,1.68,
movable,1.2041,7.63,1.96,1.85,3.17
multitasking,1.0414,,,,2.7
mummified,1.1761,10.05,2.23,,4.33
municipality,1.0414,13.05,1.8,1.53,2.44
muscling,1.0414,,,,
narcolepsy,1.1139,,,,3.29
nationalism,1.1139,12.39,2.32,1.24,1.78
naturalization,1.1461,11.71,2.32,,2.11
nazarene,1.6812,,,,
neighbourhoods,1.0414,,,1.3,
neo,2.0453,,,,
nepotism,1,,,1.73,2.08
networked,1,,,0.95,
neutralised,1.0414,,,1.83,
nevermore,1.1461,,,,1.38
newness,1.1461,,,1.78,1.79
newsreader,1.2553,10.76,1.72,,3.93
nightshade,1.415,,,,4.23
nightspot,1,,,,3.68
nincompoops,1.0414,,,,
ninnies,1,,,,
nob,1.2788,,,,
nog,1.0792,,,,
nonresponsive,1,,,,2.56
noticeably,1.0414,,,2.13,1.83
nougat,1.0792,,,,4.21
nuptial,1,,,,2.43
nuzzling,1.0792,,,,
objector,1.2041,11.95,1.67,1,3.43
oboe,1.2788,,,0.64,4.43
obsequious,1.0414,,,,
obtuse,1.1461,12.06,1.92,1.19,2.14
odometer,1.0792,,,,4.72
olympia,1.4624,,,1.52,
oozes,1.0414,,,,
opec,1,,,,
oracles,1.3222,11.82,2.33,1.11,
ornamental,1,9.74,1.9,1.48,2.7
osteoporosis,1,14.29,1.94,0.79,3.19
ostriches,1.2304,,,,
outwitted,1.0414,,,,
ova,1.1761,,,,
overachiever,1.0792,,,,1.93
overeager,1.0414,10.24,1.57,,1.73
overeducated,1,,,,2.15
overlapped,1,8.9248,2.33,1.87,
overridden,1.1461,12.5,2.08,1.63,
overstated,1.0414,,,1.96,
oxy,1.0414,,,,
oxygenated,1.0414,,,,
pacer,1.1461,12.06,1.7,,3.64
pacified,1.0792,,,,
pageantry,1.0414,,,,2.52
painlessly,1.0414,,,1.87,2.12
palestinians,1.301,,,0.56,
palmed,1.0792,6.198577083,1.97,,3.07
panamanian,1.0792,,,0.85,
parable,1,11.24,1.68,1.17,1.89
paradoxes,1.0414,,,1.59,
paraffin,1.3617,,,1.4,
parallels,1,9.95,2.43,1.85,
paralytic,1,,,,
parapet,1.0414,,,1.43,
parkas,1,,,,
parma,1.2304,,,,
participates,1,8.527895,2.34,1.95,
partisan,1,14.05,1.86,1.52,1.65
passel,1.0792,,,,
passer,1,,,,
patchy,1,9.22,1.86,1.95,3.21
patronising,1.0414,,,1.7,
payed,1.0792,,,,
payrolls,1.2041,,,,
pegs,1.1761,7.4774,2.31,1.39,
pelted,1.0414,,,1.69,
pent,1.0414,,,,
pentecostal,1.0414,,,,2.54
penthouses,1,,,,
perceives,1,10.45227879,2.18,1.59,
perforate,1,13.05,1.8,,3.33
pericardiocentesis,1,,,,
perishables,1,,,,
peritoneum,1.0414,,,,
perpetuates,1.0414,,,,
perpetuating,1,13.33,1.91,1.91,
persistently,1.0414,,,2.02,1.84
perspire,1.0792,12.26,1.87,,
phased,1.1139,,,1.85,
phlox,1.415,,,,
photons,1.2041,,,0.52,
photostat,1.2788,,,,
phys,1,,,,
piccata,1.1461,,,,
pickering,1.7709,,,,
pickpockets,1.0414,,,,
pikes,1.1139,,,1.19,
pilfered,1,,,,
pillaged,1.0414,,,,
pincer,1.1461,,,,4
pinheads,1,,,,
pino,1.301,,,,
pinstripe,1.0414,9.89,2.12,,4.59
pioneering,1.0792,,,1.9,
piquant,1.0414,,,1.48,
pitted,1.0792,,,1.87,3.43
plaguing,1,,,,
planners,1.1139,9.824445,2.12,1.53,
platitudes,1,,,1.62,
platoons,1.0414,11.81176364,2.33,,
playgirl,1.0792,,,,3.26
playwrights,1.0414,10.44,1.72,1.11,
plebe,1.4624,,,,
pled,1.1139,,,,
pleural,1.2041,,,,
plows,1.301,7.213109375,1.7,,
plucks,1.0414,,,,
polaris,1.0414,,,0.73,
policing,1,,,1.13,
pomegranate,1.1461,,,,4.86
pongo,2.1173,,,,
popinjay,1.0414,,,,
poppet,1.2553,,,,
poring,1,,,1.71,
portables,1,,,,
portman,1.7482,,,,
positives,1,,,,
positivity,1.1139,,,0.92,1.86
posy,1,,,1.47,4.12
pragmatism,1.0792,15.59,1.73,1.64,1.63
preachy,1,,,,1.86
preconceptions,1.2553,13.5,1.96,1.65,
predictive,1,10.89,2.01,1.42,1.66
preexisting,1,,,,1.67
preferring,1,8.028155051,2.18,2.14,
prepaid,1.1461,,,,2.21
preservative,1.0414,10.74,2.25,0.96,3.03
pretension,1.1461,11.06,1.63,1.52,1.81
pretties,1,,,,
pricked,1.0414,8.8353125,2.24,1.56,3.12
principled,1,,,1.56,2
prius,1.1761,,,,
profitability,1,11.72,2.41,1.37,1.86
proofing,1.0414,,,1.23,2.68
prospectors,1,,,,
prosthesis,1,13.22,1.52,,4.19
psychoanalytical,1,,,,1.42
psychokinesis,1.0792,,,,2.15
psychotically,1,,,,
psychotropic,1.0414,,,,
puce,1.1139,,,,
pummel,1.1461,,,,3.56
punctuated,1,8.28,2.18,1.96,
punky,1.2041,,,,
puree,1,,,,4.16
purposeful,1,10.21,2.33,1.76,1.86
pursuer,1,10.7,1.94,1.3,3.88
pursues,1,10.23135758,2.19,1.87,
puzzler,1,10.11,1.97,,2.85
pylons,1.2788,,,1.14,
pythons,1.1461,,,,
quadruped,1,,,,
quash,1.0792,,,0.92,
quince,1.6812,,,,
radials,1,,,,
raffles,1.3424,,,1.44,
ragtag,1,9.5,1.26,,2.72
raindrop,1.1139,6.11,2.43,,4.89
rakes,1.0414,,,1.22,
randomness,1,,,1.32,1.63
rants,1.0414,,,,2.72
rapido,1.2553,,,,
raptors,1.4624,,,,
ravaging,1,,,,
realtors,1.1761,11.71,1.49,,
recanted,1,12.67355758,1.35,,
recognising,1,,,2.06,
reconnecting,1,,,,
rectangle,1.0792,5,2.41,1.2,4.76
rector,1.2788,,,1.26,
recut,1.0414,,,,
reeked,1,,,,
reenlist,1.0414,,,,2.78
referenced,1,,,1.07,
refilling,1.0792,,,,
reformation,1.0414,11.98735,2.21,1.19,2.07
reformer,1.0792,14.26,2.04,1.52,1.92
refueled,1,,,,
regenerated,1.0792,,,,
regulating,1,11.78,2.33,1.65,
reheat,1.0414,,,,2.88
rehydrate,1,,,,3.54
reincarnate,1.1761,12.37,2.45,,2.03
reintroduce,1,,,1.83,2.48
reliably,1,,,1.87,1.77
remarking,1.0414,8.494273737,2.34,1.76,
remedied,1,,,1.89,
reneged,1.0414,,,1.83,
renters,1.0414,,,,
reorganized,1,9.59,2.33,1.6,
reorganizing,1.0414,9.59,2.33,,
repealed,1,12,1.62,1.33,
repertory,1.2304,14.41,0.58,0.96,
repositioned,1,,,,
representations,1.1139,9.17,2.31,1.59,
repressing,1,,,,
reproductions,1.0414,10.63,2.09,1.19,
rescuers,1,,,1.33,
resect,1,,,,
resets,1,,,,
resolves,1,10.47156162,2.45,1.77,
resound,1,12.62,1.68,,2.07
responders,1.2304,,,,
retches,1,,,,
retest,1.0792,,,,2.56
retractable,1,,,,3.1
revelry,1,,,,2.23
reviled,1,12.59,1.26,1.75,
revisiting,1,,,,
revolved,1,8.28,2.25,1.95,
rewired,1,,,,
reworked,1.0414,,,1.7,2.22
rigatoni,1.2041,,,,
rinsed,1,,,1.35,
riverfront,1.0414,,,,4.41
rollerblading,1,,,,
romaine,1.0792,,,,4.38
romanticism,1.0414,13.29,2.33,1.31,1.46
romulus,1.7243,,,,
roofer,1.2553,7.84,1.82,,4.79
rotisserie,1,11.26,1.66,,4.23
roundhouse,1,10.24,1.85,0.71,4.24
rousted,1.0414,,,,
rubbery,1,7.53,1.68,1.49,3.24
russe,1.0414,,,,
sacre,1,,,,
safeties,1.0414,,,,
salacious,1.0414,,,,1.57
salaried,1,,,1.44,2.52
sambuca,1.0414,,,,
sanded,1.1761,,,,3.24
sanitized,1,,,,
sassing,1.1139,,,,
sawbones,1,,,,
sayers,1.6128,,,,
scabby,1.2788,8.2872,1.52,,3.69
scalper,1.1761,,,,4
sceptical,1.0414,,,1.87,
schlemiel,1,,,,
schlepping,1.0414,,,,
schnauzer,1.0414,,,,4.42
schoolboys,1.0414,6.63,1.75,1.68,
schoolmarm,1.0792,,,,
schoolmates,1.1139,6.56,1.94,,
sclerosis,1.1461,,,1.47,3.68
scoliosis,1.1761,,,,4.12
scoutmaster,1.0792,9,1.65,,4.24
screamers,1.301,,,,
screener,1.1139,,,,3.19
scrunch,1.0792,,,,3.31
scummy,1.1139,10.28,1.43,,2.35
scuttling,1.2553,,,1.4,
seafaring,1.0414,,,,3.04
seep,1,,,1.86,3.08
sei,1.2041,,,,
semis,1.0414,,,1.17,
sensitivities,1.0414,9.11,2.43,1.73,
separatists,1.1139,,,1.28,
sequencer,1.0792,,,,3.48
sequential,1.0414,10.5,2.05,1.34,2.35
serpentine,1.1139,12.89,1.75,1.59,3.5
seton,1.7243,,,,
severing,1.0414,9.05,1.91,1.97,
shallots,1.1139,,,0.7,
sharpens,1,,,,
shaven,1.0414,8.39,2.15,1.46,3.71
shearing,1.0414,9.415296875,1.9,1.32,3.15
sheikh,1.4914,,,1.12,
shellacking,1,,,,
sheng,1.3617,,,,
shih,1.6021,,,,
shirttail,1.2041,8.89,0.95,,4.78
shoeless,1.415,,,,4.28
shortbread,1.0414,8.78,2.58,,4.56
shoveled,1.0792,6.036266667,2.58,,
shovelling,1.0792,,,1.69,
showboating,1.1139,,,,2.83
shreveport,1.0414,,,,
shrinkage,1.1139,10.83,1.85,1.43,3.31
shrouds,1.0792,,,1.14,
shuttles,1.0414,,,1.03,
sicced,1,,,,
sienna,1,,,,
sifted,1,9.322542292,1.78,1.45,3.07
signage,1.2553,,,,3.85
sil,1.2041,,,,
silhouettes,1,8.9,1.97,1.36,
simba,2.0128,,,,
simile,1.1461,,,1.2,2.04
simmering,1.0792,,,1.52,3.1
skell,1,,,,
skeptics,1,11.17,1.98,,
sketchbook,1.0414,7.52,2.06,,4.79
skinless,1.0792,9.8,2.32,,3.81
skol,1.2041,,,,
skydive,1.0792,8.78,2.32,,4.21
skylights,1.0792,8.6,2.23,,
skyrocketed,1,,,,
slaughters,1.0414,,,,
slayers,1.3802,,,,
slighted,1.0414,,,,2.18
slinking,1,,,,2.65
slithered,1,,,1.29,
sluice,1.1761,,,1.26,
smoothed,1,6.251846667,2.34,1.54,
smothers,1.0414,,,,
smugness,1,,,,1.96
snobbery,1.0414,10.88,1.79,1.67,1.74
snowboarders,1.5051,,,,
snowmobile,1.2041,,,,4.81
sobbed,1.0792,7.249056042,2.33,1.28,
sociopaths,1.0414,,,,
softens,1,7.007445,2.32,1.56,
softhearted,1.0792,9.05,1.89,,2.19
